Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Description,Investor Names
Debt Financing - MFS Africa,https://www.crunchbase.com/funding_round/mfs-africa-debt-financing--5e87db88,"Johannesburg, NA - South Africa, South Africa, Africa",MFS Africa,https://www.crunchbase.com/organization/mfs-africa,Debt Financing,30000000,USD,30000000,2021-11-10,"MFS Africa is a digital payment company that offers mobile financial solutions for senders, money users, and service providers.","Lendable, Norsad Finance"
Seed Round - Pariti,https://www.crunchbase.com/funding_round/pariti-b729-seed--f6a6ce88,"Nairobi, Nairobi Area, Kenya, Africa",Pariti,https://www.crunchbase.com/organization/pariti-b729,Seed,2850000,USD,2850000,2021-12-05,Pariti empowers businesses with tools and expertise and providing expert freelancers with a platform to develop their careers.,"ADV, Basecamp Fund, Diverse Angels, Harlem Capital Partners, NGM Ventures"
Series B - TradeDepot,https://www.crunchbase.com/funding_round/tradedepot-series-b--d56eebe5,"Lagos, Lagos, Nigeria, Africa",TradeDepot,https://www.crunchbase.com/organization/tradedepot,Series B,42000000,USD,42000000,2021-12-06,TradeDepot is a B2B e-commerce and embedded finance platform that offers a broad range of consumer goods to SME retailers.,"CDC Group, Endeavor Catalyst, International Finance Corporation, MSA Capital, Novastar Ventures, Partech, SAHEL Capital"
Series A - Gozem,https://www.crunchbase.com/funding_round/gozem-series-a--a38f33d4,"Lomé, Maritime, Togo, Africa",Gozem,https://www.crunchbase.com/organization/gozem,Series A,5000000,USD,5000000,2021-12-02,"Gozem is an application that offers its users transportation, delivery, and cashless payment services.","AAIC Ventures, CMC Capital Group, Innoport, Liil Ventures, Momentum Venture, Thunes"
Seed Round - Stitch,https://www.crunchbase.com/funding_round/stitch-money-seed--75e78740,"Cape Town, NA - South Africa, South Africa, Africa",Stitch,https://www.crunchbase.com/organization/stitch-money,Seed,2000000,USD,2000000,2021-10-28,Stitch Money provides full API access to financial accounts.,"500 Fintech, Charles Delingpole, CRE Venture Capital, Emilie Choi, Firstminute Capital, Future Africa, Matt Robinson, Norrsken VC, Raba, Tom Blomfield, Village Global"
Series B - Ozow,https://www.crunchbase.com/funding_round/i-pay-series-b--2b8a7bf3,"Johannesburg, NA - South Africa, South Africa, Africa",Ozow,https://www.crunchbase.com/organization/i-pay,Series B,48000000,USD,48000000,2021-11-17,Ozow is an instant EFT payment service in South Africa that allows your customer to make secure online payments directly into your bank.,"Endeavor Catalyst, Endeavor South Africa, Tencent"
Venture Round - beXel,https://www.crunchbase.com/funding_round/bexel-series-unknown--1c28c095,"Nasr City, Al Qahirah, Egypt, Africa",beXel,https://www.crunchbase.com/organization/bexel,Venture - Series Unknown,,,,2021-12-01,"Bexel is a software company that helps inspection companies digitize their entire inspection process, go paperless.","Flat6Labs, JH Investments, Saudi Angel Investors, UI Investments"
Debt Financing - TradeDepot,https://www.crunchbase.com/funding_round/tradedepot-debt-financing--99531b39,"Lagos, Lagos, Nigeria, Africa",TradeDepot,https://www.crunchbase.com/organization/tradedepot,Debt Financing,68000000,USD,68000000,2021-12-06,TradeDepot is a B2B e-commerce and embedded finance platform that offers a broad range of consumer goods to SME retailers.,Arcadia Funds
Pre Seed Round - Flex Finance,https://www.crunchbase.com/funding_round/flex-finance-pre-seed--e9c022c3,"Lagos, Lagos, Nigeria, Africa",Flex Finance,https://www.crunchbase.com/organization/flex-finance,Pre-Seed,,,,2021-12-03,"Flex Finance is a simple mobile platform that allows SMEs manage and track their expenses, with little-to-no financial knowledge required.","Berrywood Capital, Brett Kopf, Julian Shapiro, Kairos Angels, LoftyInc Capital Management, Maneesh Arora, Paradox Capital, Sahil Lavingia"
Series B - uLesson,https://www.crunchbase.com/funding_round/ulesson-series-b--1a7645f4,"Jos, Plateau, Nigeria, Africa",uLesson,https://www.crunchbase.com/organization/ulesson,Series B,15000000,USD,15000000,2021-12-09,"uLesson mobile offering rests on three pillars: academics,media & technology and curriculum content is delivered via streaming and SD cards.","Founder Collective, Nielsen Ventures, Owl Ventures, Tencent, TLcom Capital Partners"
Series C - Twiga Foods,https://www.crunchbase.com/funding_round/twiga-foods-series-c--885d96d4,"Nairobi, Nairobi Area, Kenya, Africa",Twiga Foods,https://www.crunchbase.com/organization/twiga-foods,Series C,50000000,USD,50000000,2021-11-01,Twiga Foods is a business-to-business marketplace platform that sources produce directly from farmers and delivers it to urban retailers.,"Creadev, DOB Equity, Endeavor Catalyst, Finnfund (Finnish Fund for Industrial Cooperation Ltd.), IFC Venture Capital Group, Juven, TLcom Capital Partners"
Series A - OfferZen,https://www.crunchbase.com/funding_round/offerzen-series-a--5a363551,"Cape Town, NA - South Africa, South Africa, Africa",OfferZen,https://www.crunchbase.com/organization/offerzen,Series A,4500000,EUR,5093574,2021-12-01,OfferZen is a platform to get competing job offers from top South African tech companies.,Base Capital Pty. Ltd.
Pre Seed Round - Octamile,https://www.crunchbase.com/funding_round/octamile-pre-seed--4267d7de,"Lagos, Lagos, Nigeria, Africa",Octamile,https://www.crunchbase.com/organization/octamile,Pre-Seed,500000,USD,500000,2021-12-01,Octamile are enabling Insurance and non-insurance businesses to simplify access to insurance and protect Africans from financial loss.,"Dale Mathias, EchoVC Partners, Fiat Ventures, Kesho Capital, Kyle Daley, TRADE X, Verraki Africa"
Series A - Breadfast,https://www.crunchbase.com/funding_round/breadfast-series-a--6ddcc3a6,"Cairo, Al Qahirah, Egypt, Africa",Breadfast,https://www.crunchbase.com/organization/breadfast,Series A,26000000,USD,26000000,2021-11-03,"Breadfast delivers all the households essentials, from bread, to milk, fruits and veggies and more than 3,000 items in less than 60 minutes.","4DX Ventures, Endure Capital, Flexport, JAM Fund, Shorooq Partners, VNV Global, Y Combinator Continuity Fund"
Seed Round - Colony Lab,https://www.crunchbase.com/funding_round/colony-lab-seed--69f80d2d,"Mahé, Beau Vallon, Seychelles, Africa",Colony Lab,https://www.crunchbase.com/organization/colony-lab,Seed,18500000,USD,18500000,2021-11-30,Colony Lab is a community-driven initiative to power the Avalanche Platform growth by investing in early-stage projects.,"Avalanche, Bixin Ventures, Damo Labs, GBV Capital, Hashkey, Shima Capital"
Seed Round - ShapShap,https://www.crunchbase.com/funding_round/shapshap-technologgies-seed--b91663b3,"Abuja, Federal Capital Territory, Nigeria, Africa",ShapShap,https://www.crunchbase.com/organization/shapshap-technologgies,Seed,,,,2021-11-26,"ShapShap is a software for making deliveries efficient, sustainable and scalable.",GreenTec Capital Partners
Venture Round - JUMO,https://www.crunchbase.com/funding_round/jumo-2-series-unknown--30b51ca9,"Cape Town, NA - South Africa, South Africa, Africa",JUMO,https://www.crunchbase.com/organization/jumo-2,Venture - Series Unknown,120000000,USD,120000000,2021-11-08,JUMO is the market leading Banking as a Service platform that uses AI to power financial services in emerging markets.,"Fidelity Management and Research Company, Kingsway Capital, Visa"
Seed Round - Raseedi,https://www.crunchbase.com/funding_round/raseedi-app-seed--c606568c,"Cairo, Al Qahirah, Egypt, Africa",Raseedi,https://www.crunchbase.com/organization/raseedi-app,Seed,850000,USD,850000,2021-11-30,Raseedi is the first spend optimization App in Egypt and the MENA region.,"500 Startups, EFG EV Fintech, Falak Startups, Samurai Incubate"
Post-IPO Debt - Ecobank,https://www.crunchbase.com/funding_round/ecobank-transnational-post-ipo-debt--defe97db,"Lomé, Maritime, Togo, Africa",Ecobank,https://www.crunchbase.com/organization/ecobank-transnational,Post-IPO Debt,100000000,EUR,112032516,2021-11-24,Ecobank is a modern pan-African financial institution providing financial solutions.,European Investment Bank
Pre Seed Round - Hollydesk,https://www.crunchbase.com/funding_round/hollydesk-pre-seed--edebbe50,"Cairo, Al Qahirah, Egypt, Africa",Hollydesk,https://www.crunchbase.com/organization/hollydesk,Pre-Seed,325000,USD,325000,2021-11-23,Hollydesk is a platform that manages SME company's daily expenses and accounts payable from end to end.,Faisal Abdel Salam
Seed Round - Shamba Pride,https://www.crunchbase.com/funding_round/shamba-pride-seed--94abcc69,"Nairobi, Nairobi Area, Kenya, Africa",Shamba Pride,https://www.crunchbase.com/organization/shamba-pride,Seed,1100000,USD,1100000,2021-12-03,"Shamba Pride is a revolutionary Rural Distribution system for African Farmers, it provides online-to-offline DigiShop marketplace.","Gray Matters Capital, Seedstars Africa Ventures"
Funding Round - Salpha Energy,https://www.crunchbase.com/funding_round/salpha-energy-undisclosed--d23e6fa9,"Lagos, Lagos, Nigeria, Africa",Salpha Energy,https://www.crunchbase.com/organization/salpha-energy,Funding Round,1000000,USD,1000000,2021-11-19,Salpha aims to tap solar energy for a cleaner and more sustainable future for everyone.,All On
Private Equity Round - Entersekt,https://www.crunchbase.com/funding_round/entersekt-private-equity--584468c9,"Stellenbosch, NA - South Africa, South Africa, Africa",Entersekt,https://www.crunchbase.com/organization/entersekt,Private Equity,,,,2021-12-09,Innovator in mobile identity and payments enablement,Accel-KKR
Seed Round - OnePipe,https://www.crunchbase.com/funding_round/onepipe-seed--c5f34720,"Lagos, Lagos, Nigeria, Africa",OnePipe,https://www.crunchbase.com/organization/onepipe,Seed,3500000,USD,3500000,2021-11-24,OnePipe builds and maintains APIs that enable banks to partner with modern digital services and fintech.,"Acquity Group, Atlantica Ventures, Canaan Partners, Chris Adelsbach, DFS Lab, Ingressive Capital, Norrsken VC, P1 Ventures, Raba, Saison Capital, Techstars, The Fund, Tribe Capital, Two Culture Capital, V & R Associates"
Series A - Yassir,https://www.crunchbase.com/funding_round/yassir-series-a--edd1bfd3,"Algiers, Alger, Algeria, Africa",Yassir,https://www.crunchbase.com/organization/yassir,Series A,30000000,USD,30000000,2021-11-29,Yassir is a transport service that uses smartphone app and allows everyone to book drivers and move around safely.,"DN Capital, Endeavor Catalyst, FJ Labs, Kismet Capital Group (KCG), Moving Capital, Quiet Capital, Spike Ventures, VentureSouq, WndrCo"
Series C - MFS Africa,https://www.crunchbase.com/funding_round/mfs-africa-series-c--acc8b77b,"Johannesburg, NA - South Africa, South Africa, Africa",MFS Africa,https://www.crunchbase.com/organization/mfs-africa,Series C,70000000,USD,70000000,2021-11-10,"MFS Africa is a digital payment company that offers mobile financial solutions for senders, money users, and service providers.","AfricInvest, Allan Gray, CommerzVentures, Endeavor Catalyst, Endeavor South Africa, Equator Capital Partners, Goodwell Investments, LUN Partners Group"
Series A - DrugStoc,https://www.crunchbase.com/funding_round/drugstoc-series-a--e7c1d091,"Oregun, Lagos, Nigeria, Africa",DrugStoc,https://www.crunchbase.com/organization/drugstoc,Series A,4400000,USD,4400000,2021-11-15,DrugStoc is an innovative drug procurement platform.,"Asia Africa Investment & Consulting, KFW DEG, Liam O’Connor, VestedWorld"
Seed Round - Wicrypt,https://www.crunchbase.com/funding_round/wicrypt-seed--ff6dd5ba,"Enugu, Enugu, Nigeria, Africa",Wicrypt,https://www.crunchbase.com/organization/wicrypt,Seed,1500000,USD,1500000,2021-11-09,Wicrypt is a dynamic organization that consistently allows its users to get paid by sharing their Wi-Fi.,"AU21 Capital, Chain Capital, Inclusion Capital, N7 Labs, Occam.fi, Onega Ventures, Outlier Ventures, Pluto Digital, PolkaFoundary, Sandeep Nailwal"
Debt Financing - WIOCC,https://www.crunchbase.com/funding_round/wiocc-debt-financing--6660e756,"Ebène, Plaines Wilhems, Mauritius, Africa",WIOCC,https://www.crunchbase.com/organization/wiocc,Debt Financing,,,,2021-11-24,WIOCC is the African partner of choice for global and African carriers.,"Emerging Africa Infrastructure Fund, International Finance Corporation, PROPARCO"
Seed Round - Appetito,https://www.crunchbase.com/funding_round/appetito-seed--0baf6f3f,"Cairo, Al Qahirah, Egypt, Africa",Appetito,https://www.crunchbase.com/organization/appetito,Seed,2000000,USD,2000000,2021-11-03,"Appetito delivers daily fresh baked products, grocery and a wide selection of irresistible savory and sweet snacks.","Axel Peyriere, Chandaria Capital, DFS Lab, Golden Palm Investments, Jedar Capital, LVL1 Group, Noa Khamallah"
Series A - Africa Health Holdings Ltd,https://www.crunchbase.com/funding_round/africa-health-holding-ltd-series-a--f0151f8e,"Accra, Greater Accra, Ghana, Africa",Africa Health Holdings Ltd,https://www.crunchbase.com/organization/africa-health-holding-ltd,Series A,18000000,USD,18000000,2021-11-15,Africa Health Holdings cultivates a work-environment that motivates professionals to strive to exceed their expectations.,"Asia Pacific Land, Breyer Capital, Kepple Africa Ventures, M3, Sunu Capital, TRB Advisors, Valiant Capital Partners"
Pre Seed Round - Rabbit mart,https://www.crunchbase.com/funding_round/rabbit-mart-pre-seed--5bcf542f,"Cairo, Al Qahirah, Egypt, Africa",Rabbit mart,https://www.crunchbase.com/organization/rabbit-mart,Pre-Seed,11000000,USD,11000000,2021-11-10,Groceries and more in 20 minutes,"Foundation Ventures, Global Founders Capital, Goodwater Capital, MSA Capital, Raed Ventures"
Pre Seed Round - Asilimia,https://www.crunchbase.com/funding_round/asilimia-pre-seed--07ef1b40,"Nairobi, Nairobi Area, Kenya, Africa",Asilimia,https://www.crunchbase.com/organization/asilimia,Pre-Seed,1000000,USD,1000000,2021-11-23,Making M-PESA free of transaction costs,"Fredrik Jung Abbou, Norrsken Impact Accelerator"
Seed Round - Fleeti,https://www.crunchbase.com/funding_round/fleeti-seed--62725cc3,"Dakar, Dakar, Senegal, Africa",Fleeti,https://www.crunchbase.com/organization/fleeti,Seed,1000000,EUR,1155334,2021-10-11,Smart fleet management & geotracking solutions,"Clim group, Janngo, MapInvest, Newfund, Skalepark"
Private Equity Round - WIOCC,https://www.crunchbase.com/funding_round/wiocc-private-equity--d7f65fc9,"Ebène, Plaines Wilhems, Mauritius, Africa",WIOCC,https://www.crunchbase.com/organization/wiocc,Private Equity,200000000,USD,200000000,2021-11-24,WIOCC is the African partner of choice for global and African carriers.,African Capital Alliance
Seed Round - CINETPAY,https://www.crunchbase.com/funding_round/cinetpay-seed--f2656e39,"Abidjan, Lagunes, Côte d'Ivoire, Africa",CINETPAY,https://www.crunchbase.com/organization/cinetpay,Seed,2400000,USD,2400000,2021-12-08,CinetPay is a mobile money payment hub that federates mobile money payment methods in Africa.,"4DX Ventures, Flutterwave"
Seed Round - Shuttlers,https://www.crunchbase.com/funding_round/shuttlers-seed--935a4399,"Lagos, Lagos, Nigeria, Africa",Shuttlers,https://www.crunchbase.com/organization/shuttlers,Seed,1600000,USD,1600000,2021-11-16,Shuttlers is a platform that offers mobility solutions by providing scheduled bus-sharing services for the professionals within the region.,"CMC 21 & Alsa, Co-Creation Hub Nigeria, Consonance Investment Managers, EchoVC Partners, Five35 Ventures, Interswitch, Launch Africa, Nikky Taurus, Rising Tide Africa, Sakore, ShEquity, VestedWorld"
Pre Seed Round - Aboki Africa,https://www.crunchbase.com/funding_round/aboki-africa-pre-seed--2b972a6c,"Lekki, Lagos, Nigeria, Africa",Aboki Africa,https://www.crunchbase.com/organization/aboki-africa,Pre-Seed,,,,2021-11-15,"Aboki Africa is an a virtual global bank account for free to receive and make foreign payments or convert currencies, all in one place.","Abdul Hassan, Ingressive Capital, Niche Capital"
Seed Round - Opibus,https://www.crunchbase.com/funding_round/opibus-seed--9aed514c,"Nairobi, Nairobi Area, Kenya, Africa",Opibus,https://www.crunchbase.com/organization/opibus,Seed,5000000,USD,5000000,2021-11-02,"E-mobility development and manufacturing - Electric Vehicles, Electric Motorcycles and Charing infrastructure","Ambo Ventures, At One Ventures, Factor[e] Ventures"
Seed Round - PayHippo,https://www.crunchbase.com/funding_round/payhippo-seed--29eaa39f,"Lekki, Lagos, Nigeria, Africa",PayHippo,https://www.crunchbase.com/organization/payhippo,Seed,3000000,USD,3000000,2021-11-03,PayHippo is an AI-Driven lending platform making it easier to finance small and medium sized businesses.,"Bolaji Balogun, Hakeem Belo-Osagie, Ham Serunjogi, Maijid Moujaled, Olugbenga Agboola, Prodigio Capital, TEN13, VentureSouq"
Seed Round - Busha,https://www.crunchbase.com/funding_round/busha-seed--f9c94ca3,"Lekki, Lagos, Nigeria, Africa",Busha,https://www.crunchbase.com/organization/busha,Seed,4200000,USD,4200000,2021-11-23,"Busha is a trusted platform that helps to buy, sell, and manage your cryptocurrency portfolio in the simplest, safest, and most reliable way","Blackwell Capital Group, Cadenza Capital Management, CMT Digital Ventures, Greenhouse Capital Partners, Jump Capital, Raba"
Seed Round - ShipBlu,https://www.crunchbase.com/funding_round/shipblu-seed--ce1c5f51,"Cairo, Al Qahirah, Egypt, Africa",ShipBlu,https://www.crunchbase.com/organization/shipblu,Seed,2400000,USD,2400000,2021-10-31,ShipBlu is a platform that redefines the e-commerce shipping and fulfillment experience providing 24-hour delivery with live tracking.,"1984 Ventures, Nama Ventures, Orange Ventures, Starling Ventures, Y Combinator"
Seed Round - WAFFARX,https://www.crunchbase.com/funding_round/waffarx-seed--617ee259,"Cairo, Al Qahirah, Egypt, Africa",WAFFARX,https://www.crunchbase.com/organization/waffarx,Seed,,,,2021-12-07,MENA's First Cash Back provider,"A15, lobby capital"
Series A - AURA,https://www.crunchbase.com/funding_round/aura-dae7-series-a--920743ca,"Johannesburg, NA - South Africa, South Africa, Africa",AURA,https://www.crunchbase.com/organization/aura-dae7,Series A,62000000,ZAR,3994948,2021-11-16,A South African cloud-based security and safety startup .,"Buffet Investments, KLT holdings, MultiChoice"
Funding Round - Nigerian National Petroleum Corporation (NNPC),https://www.crunchbase.com/funding_round/nigerian-national-petroleum-corporation-nnpc-undisclosed--e4c3c14e,"Garki, Federal Capital Territory, Nigeria, Africa",Nigerian National Petroleum Corporation (NNPC),https://www.crunchbase.com/organization/nigerian-national-petroleum-corporation-nnpc,Funding Round,1040000000,USD,1040000000,2021-11-17,Nigerian National Petroleum Corporation is the oil corporation through which the federal government of Nigeria regulates,African Export-Import Bank
Seed Round - Union54,https://www.crunchbase.com/funding_round/union54-seed--91a9dd05,"Lusaka, NA - Zambia, Zambia, Africa",Union54,https://www.crunchbase.com/organization/union54,Seed,3000000,USD,3000000,2021-10-27,Union54 is an API platform that issues USD virtual and physical debit cards.,"ACE & Company, Babs Ogundeyi, Gbenga Ajayi, Risana Zitha, Runa Capital, The Todd & Rahul Angel Fund, Tiger Global Management, Vibe VC"
Seed Round - KlickIt,https://www.crunchbase.com/funding_round/q-less-seed--81967a4e,"Cairo, Al Qahirah, Egypt, Africa",KlickIt,https://www.crunchbase.com/organization/q-less,Seed,,,,2021-11-29,"KlickIt is an online payment platform that provides individuals with a fast, accessible and convenient payment method.","Camel Ventures, EFG Hermes"
Seed Round - Kusini Water,https://www.crunchbase.com/funding_round/kusini-water-seed--de1a877a,"Johannesburg, NA - South Africa, South Africa, Africa",Kusini Water,https://www.crunchbase.com/organization/kusini-water,Seed,,,,2021-12-01,Kusini Water builds water treatment systems from nanotechnology and macadamia nut shells.,Vumela Fund
Seed Round - Career 180,https://www.crunchbase.com/funding_round/career-180-seed--5564da48,"Cairo, Al Qahirah, Egypt, Africa",Career 180,https://www.crunchbase.com/organization/career-180,Seed,200000,USD,200000,2021-11-15,Career 180 is a career advising platform.,Edventures
Seed Round - Autochek,https://www.crunchbase.com/funding_round/autochek-seed--d98a5713,"Lagos, Lagos, Nigeria, Africa",Autochek,https://www.crunchbase.com/organization/autochek,Seed,13100000,USD,13100000,2021-10-26,Autochek is an automotive technology company that aims to build digital solutions.,"4DX Ventures, Ask Capital, Enza Capital, Golden Palm Investments, Lateral Capital, Mobility 54, TLcom Capital Partners"
Debt Financing - Ampersand,https://www.crunchbase.com/funding_round/ampersand-2-debt-financing--a91f102c,"Kigali, Butare, Rwanda, Africa",Ampersand,https://www.crunchbase.com/organization/ampersand-2,Debt Financing,9000000,USD,9000000,2021-11-01,Ampersand is the e-mobility energy provider for millions of motorbike taxis.,U.S. International Development Finance Corp
Pre Seed Round - Hekouky,https://www.crunchbase.com/funding_round/hekouky-pre-seed--eac0dc8c,"Garden City, Al Qahirah, Egypt, Africa",Hekouky,https://www.crunchbase.com/organization/hekouky,Pre-Seed,,,,2021-11-24,Hekouky is an online legal technology company that digitalizes the user’s experience on registering companies and trademarks.,Nama Ventures
Seed Round - Vendease,https://www.crunchbase.com/funding_round/vendease-seed--27a5972d,"Lagos, Lagos, Nigeria, Africa",Vendease,https://www.crunchbase.com/organization/vendease,Seed,3200000,USD,3200000,2021-10-25,"Vendease is a marketplace that lets restaurants in Africa, order directly from farms and food manufacturers.","Global Founders Capital, Hack VC, Hustle Fund, John Obaro, Liquid 2 Ventures, MAGIC Fund, Soma Capital, Tayo Oviosu, Y Combinator"
Venture Round - RecoMed,https://www.crunchbase.com/funding_round/recomed-series-unknown--7dc063b2,"Cape Town, NA - South Africa, South Africa, Africa",RecoMed,https://www.crunchbase.com/organization/recomed,Venture - Series Unknown,1500000,USD,1500000,2021-10-27,RecoMed is an online healthcare booking platform and marketplace for healthcare providers.,"AAIC Holdings, Growth Grid Venture Capital Partners, PUSH Ventures, Vunani"
Pre Seed Round - Craydel,https://www.crunchbase.com/funding_round/craydel-pre-seed--4eb210c9,"Nairobi, Nairobi Area, Kenya, Africa",Craydel,https://www.crunchbase.com/organization/craydel,Pre-Seed,1000000,USD,1000000,2021-11-10,"Craydel is transforming the way students and working professionals in Africa discover, compare and apply to higher education.","Bisk Ventures, BriteGaze, Chandaria Capital, Enza Capital, Future of Learning Fund, LoftyInc Capital Management, Tekton Ventures"
Seed Round - Root,https://www.crunchbase.com/funding_round/root-9de9-seed--b8c85772,"Cape Town, NA - South Africa, South Africa, Africa",Root,https://www.crunchbase.com/organization/root-9de9,Seed,3000000,USD,3000000,2021-11-11,A financial services platform - programmable banking and insurance,"Base Capital, FireID, Invenfin, Luno, P1 Ventures, Savannah Fund"
Seed Round - Sympl,https://www.crunchbase.com/funding_round/sympl-4045-seed--685e532a,"Cairo, Al Qahirah, Egypt, Africa",Sympl,https://www.crunchbase.com/organization/sympl-4045,Seed,,,,2021-10-17,Sympl is a company that provides buy now pay later service.,A15
Pre Seed Round - Kippa,https://www.crunchbase.com/funding_round/kippa-pre-seed--62e24a02,"Nguru, Lagos, Nigeria, Africa",Kippa,https://www.crunchbase.com/organization/kippa,Pre-Seed,3200000,USD,3200000,2021-11-18,Kippa is a mobile app for African small company owners and bookkeepers that replaces physical record books.,"Alter Global, Babs Ogundeyi, Edward Suh, Entrée Capital, Kyane Kassiri, Raffael Johnen, Rally Cap Ventures, Sajid Rahman, Sriram Krishnan, Target Global"
Seed Round - OTO Courses,https://www.crunchbase.com/funding_round/oto-courses-seed--a470c942,"Cairo, Al Qahirah, Egypt, Africa",OTO Courses,https://www.crunchbase.com/organization/oto-courses,Seed,400000,USD,400000,2021-11-09,OTO Course is an online digital learning platform that provides online English courses.,Edventures
Seed Round - Zindi,https://www.crunchbase.com/funding_round/zindi-seed--ccd52917,"Ebène, Plaines Wilhems, Mauritius, Africa",Zindi,https://www.crunchbase.com/organization/zindi,Seed,1000000,USD,1000000,2021-12-03,Zindi is a data science marketplace where the supply and demand for AI solutions and talent can connect,"Five35 Ventures, Founders Factory Africa, Launch Africa, Shakti Capital"
Pre Seed Round - Mecho,https://www.crunchbase.com/funding_round/mechoafrica-pre-seed--62dc243c,"Lagos, Lagos, Nigeria, Africa",Mecho,https://www.crunchbase.com/organization/mechoafrica,Pre-Seed,,,,2021-11-22,Mecho is an on-demand auto repair and maintenance platform for individuals and businesses.,Ingressive Capital
Seed Round - Adbot,https://www.crunchbase.com/funding_round/adbot-7276-seed--7e2931b5,"Cape Town, NA - South Africa, South Africa, Africa",Adbot,https://www.crunchbase.com/organization/adbot-7276,Seed,7000000,ZAR,469206,2021-11-08,Adbot is a marketing and advertising firm that offers services for small business owners to advertise online.,Enygma Ventures
Debt Financing - Zimbabwe Electricity Transmission and Distribution Company,https://www.crunchbase.com/funding_round/zimbabwe-electricity-transmission-and-distribution-company-debt-financing--616d2df4,"Harare, NA - Zimbabwe, Zimbabwe, Africa",Zimbabwe Electricity Transmission and Distribution Company,https://www.crunchbase.com/organization/zimbabwe-electricity-transmission-and-distribution-company,Debt Financing,110000000,USD,110000000,2021-11-19,Zimbabwe Electricity Transmission and Distribution Company is providing the distribution and retail of electricity to the final end-user.,African Export-Import Bank
Series A - Enda Sportswear,https://www.crunchbase.com/funding_round/enda-sportswear-series-a--50d82250,"Nairobi, Nairobi Area, Kenya, Africa",Enda Sportswear,https://www.crunchbase.com/organization/enda-sportswear,Series A,1100000,USD,1100000,2021-12-09,Enda is an African running shoe brand that inspires by the world’s greatest runners in Kenya.,Talanton
Seed Round - Treepz,https://www.crunchbase.com/funding_round/plentywaka-ltd-seed--6f88f1e7,"Lagos, Lagos, Nigeria, Africa",Treepz,https://www.crunchbase.com/organization/plentywaka-ltd,Seed,1500000,USD,1500000,2021-11-23,Treepz is a Mobility-as-a-Service platform that develops a bus-hailing application to create a safer transportation system for commuters.,"Axel Peyriere, Blanford Capital, Jedar Capital, Jonomi Ventures, Uncovered Fund"
Pre Seed Round - Kuzlo,https://www.crunchbase.com/funding_round/kuzlo-pre-seed--4ba8489e,"Alexandria, Al Iskandariyah, Egypt, Africa",Kuzlo,https://www.crunchbase.com/organization/kuzlo,Pre-Seed,,,,2021-10-28,Kuzlo is a marketplace that connects retailers with wholesalers by providing full transparency on product availability and prices.,Nama Ventures
Seed Round - Filkhedma,https://www.crunchbase.com/funding_round/filkhedma-seed--59bd01c1,"Cairo, Al Qahirah, Egypt, Africa",Filkhedma,https://www.crunchbase.com/organization/filkhedma,Seed,,,,2021-12-05,FilKhedma provides maintenance services for homes and offices in Egypt.,Cairo Angels
Seed Round - NFTfi,https://www.crunchbase.com/funding_round/nftfi-seed--6fb6b900,"Cape Town, NA - South Africa, South Africa, Africa",NFTfi,https://www.crunchbase.com/organization/nftfi,Seed,5000000,USD,5000000,2021-11-16,NFTfi is a simple NFT collateralized lending marketplace where you may use your NFT assets as collateral for a loan or lend to other users.,"1kx, Kleiner Perkins, Maven 11 Capital, Scalar Capital, Sound Ventures"
Grant - Swoove Delivery,https://www.crunchbase.com/funding_round/swoove-delivery-grant--1d9db8fc,"Accra, Greater Accra, Ghana, Africa",Swoove Delivery,https://www.crunchbase.com/organization/swoove-delivery,Grant,120000,USD,120000,2021-10-30,Swoove is a firm that aims to assist SMEs in delivering goods door-to-door across Africa and the rest of the world.,Catalyst Fund
Pre Seed Round - Bypa-ss,https://www.crunchbase.com/funding_round/bypa-ss-pre-seed--ae2c018b,"Cairo, Al Qahirah, Egypt, Africa",Bypa-ss,https://www.crunchbase.com/organization/bypa-ss,Pre-Seed,1000000,USD,1000000,2021-11-01,Bypa-ss is digitizing healthcare information exchange between healthcare providers to deliver best quality of care to their patients.,"Acuity Ventures, Launch Africa, MAGIC Fund, Musha Ventures, Plug and Play Tech Center"
Debt Financing - Asilimia,https://www.crunchbase.com/funding_round/asilimia-debt-financing--7c97fabe,"Nairobi, Nairobi Area, Kenya, Africa",Asilimia,https://www.crunchbase.com/organization/asilimia,Debt Financing,1000000,USD,1000000,2021-11-23,Making M-PESA free of transaction costs,"Bpifrance, GreenTec Capital Partners"
Venture Round - AgroEknor,https://www.crunchbase.com/funding_round/agroeknor-series-unknown--a53ec08a,"Kano, Kano, Nigeria, Africa",AgroEknor,https://www.crunchbase.com/organization/agroeknor,Venture - Series Unknown,,,,2021-11-25,"AgroEknor provides agricultural research, integration, technology based optimization & global delivery of the agro superfoods.",Aruwa Capital
Series A - Wave Mobile Money,https://www.crunchbase.com/funding_round/wave-mobile-money-series-a--a4d58027,"Dakar, Dakar, Senegal, Africa",Wave Mobile Money,https://www.crunchbase.com/organization/wave-mobile-money,Series A,200000000,USD,200000000,2021-09-07,"Wave Mobile Money provides an app-based financial solution to save, transfer, and borrow money.","Founders Fund, Partech, Ribbit Capital, Sam Altman, Sequoia Heritage, Stripe"
